nombre,apellido,cargo,foto_url,wikidata_id,provincia,bloque,partido,mandato,mandato_inicio,mandato_fin,fuente_url,fuente_nombre,ministerio
Fernanda,Díaz,diputado,https://parlamentaria.hcdn.gob.ar/image/27349910298_20251204140349000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Romina,Diez,diputado,https://parlamentaria.hcdn.gob.ar/image/27280582536_20231128105528000_small.png,,Santa Fe,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Sergio,Dolce,diputado,https://parlamentaria.hcdn.gob.ar/image/20269684438_20251126101424000_small.png,,Chaco,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Nicolás,Emma,diputado,https://parlamentaria.hcdn.gob.ar/image/20291515011_20251128090428000_small.png,,Ciudad de Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gabriela Beatriz,Estévez,diputado,https://parlamentaria.hcdn.gob.ar/image/27261225234_20231129151114000_small.png,,Cordoba,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Eduardo,Falcone,diputado,https://parlamentaria.hcdn.gob.ar/image/20148134902_20241128142619000_small.png,,Buenos Aires,MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Alejandro,Fargosi,diputado,https://parlamentaria.hcdn.gob.ar/image/20113717506_20251211145749000_small.png,,Ciudad de Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Pablo,Farías,diputado,https://parlamentaria.hcdn.gob.ar/image/20210031856_20260327084248000_small.png,,Santa Fe,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Emir,Félix,diputado,https://parlamentaria.hcdn.gob.ar/image/20168368373_20251204141145000_small.png,,Mendoza,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Jorge,Fernández,diputado,https://parlamentaria.hcdn.gob.ar/image/20133010298_20251202143951000_small.png,,San Luis,PRIMERO SAN LUIS,PRIMERO SAN LUIS,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Elia Marina,Fernández,diputado,https://parlamentaria.hcdn.gob.ar/image/27167354918_20251202142545000_small.png,,Tucuman,INDEPENDENCIA,INDEPENDENCIA,2023-2027,2025-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Daiana,Fernández Molero,diputado,https://parlamentaria.hcdn.gob.ar/image/27319171148_20231128102546000_small.png,,Ciudad de Buenos Aires,PRO,PRO,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Abelardo,Ferrán,diputado,https://parlamentaria.hcdn.gob.ar/image/20133677586_20251126102235000_small.png,,La Pampa,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Maximiliano,Ferraro,diputado,https://parlamentaria.hcdn.gob.ar/image/20250442433_20231128104631000_small.png,,Ciudad de Buenos Aires,COALICION CIVICA,COALICION CIVICA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Alida,Ferreyra,diputado,https://parlamentaria.hcdn.gob.ar/image/27262351195_20240129145036000_small.png,,Ciudad de Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2024-01-31,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Sergio,Figliuolo,diputado,https://parlamentaria.hcdn.gob.ar/image/20253596814_20251204141955000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Alejandro,Finocchiaro,diputado,https://parlamentaria.hcdn.gob.ar/image/20184536758_20211202162523000_small.png,,Buenos Aires,PRO,PRO,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Maria Gabriela,Flores,diputado,https://parlamentaria.hcdn.gob.ar/image/27241384727_20251204142138000_small.png,,Salta,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Mónica,Frade,diputado,https://parlamentaria.hcdn.gob.ar/image/23127596824_20231128101433000_small.png,,Buenos Aires,COALICION CIVICA,COALICION CIVICA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Alicia,Fregonese,diputado,https://parlamentaria.hcdn.gob.ar/image/27142715916_20251215115147000_small.png,,Entre Rios,PRO,PRO,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
